tweet_id,favorite_count,retweet_count,retweet_status,url
849412302885593088,14983,2905,Original tweet,https://t.co/Uq3ChFgWA3
849336543269576704,10782,1734,Original tweet,https://t.co/jqPk1BZ6xu
849051919805034497,39892,7841,Original tweet,https://t.co/r6GjO6MbZz
848690551926992896,23799,4011,Original tweet,https://t.co/UOE79zb6VU
848324959059550208,23355,4269,Original tweet,https://t.co/1pSqUbLQ5Z
848213670039564288,7710,666,Original tweet,t
848212111729840128,15384,2793,Original tweet,https://t.co/DkOBbwulw1
847978865427394560,0,3013,Original tweet,https://t.c…
847971574464610304,0,409,Original tweet,https://t.co/0bYtoL7Wwt
847962785489326080,22232,4705,Original tweet,https://t.co/rcDs5LkiSj
847842811428974592,5122,1217,Original tweet,https://t.co/zK4cpKPFfU https://t.co/7Xvoalr798
847617282490613760,6629,383,Original tweet,0
847606175596138505,17755,3169,Original tweet,https://t.co/WTPBWT6Ux1
847251039262605312,19410,4025,Original tweet,https://t.co/zhbRIZQgnq
847157206088847362,18785,5383,Original tweet,https://t.co/Jlb9L0m3J0 https://t.co/Eh7fGFuy6r
847116187444137987,20325,2949,Original tweet,https://t.co/EeeErAbso0
846874817362120707,19027,3638,Original tweet,https://t.co/P7PBGqrKSe
846514051647705089,42103,10685,Original tweet,https://t.co/cFAasDXauK
846505985330044928,13377,2843,Original tweet,https://t.co/GJ8rozumsy
846153765933735936,29814,8405,Original tweet,https://t.co/a0CkS5ExFR
846139713627017216,29409,9383,Original tweet,https://t.co/4ctgpGcqAd
846042936437604353,15140,2659,Original tweet,https://t.co/0hLkztpiOW
845812042753855489,27678,8069,Original tweet,https://t.co/TLNexlqzXP
845677943972139009,23931,4490,Original tweet,https://t.co/z30iQLiXNo
845397057150107648,7254,1656,Original tweet,https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o
845306882940190720,22116,5006,Original tweet,https://t.co/7mPCF4ZwEk
845098359547420673,0,7116,Original tweet,https://t…
844979544864018432,12935,2367,Original tweet,https://t.co/a5OaJeRl9B
844973813909606400,14252,2942,Original tweet,https://t.co/B1iBuSq3hr
844580511645339650,15623,2892,Original tweet,https://t.co/gAzPqT7uyk
844223788422217728,13003,2037,Original tweet,https://t.co/H38HB6rBTx
843981021012017153,14441,2760,Original tweet,https://t.co/Gu5wHx3CBd
843856843873095681,20413,4291,Original tweet,https://t.co/f5C5l5wa0e
843604394117681152,16060,2546,Original tweet,https://t.co/wHUElL84RC
843235543001513987,20429,5572,Original tweet,https://t.co/DKwp2ByMsL
842846295480000512,14556,3400,Original tweet,https://t.co/nFpNgCWWYs
842765311967449089,6421,1195,Original tweet,https://t.co/fvGkIuAlFK https://t.co/kiCFtmJd7l
842535590457499648,17272,3271,Original tweet,https://t.co/Tf0rh9ZgZe
842163532590374912,23257,5405,Original tweet,https://t.co/o6E0hB3xZl
842115215311396866,13307,2832,Original tweet,https://t.co/iDK4OyQJoy
841833993020538882,0,13973,Original tweet,https://t.co/btzf1zTDeQ
841680585030541313,24566,7339,Original tweet,https://t.co/qUOijSlPnj
841439858740625411,12017,3410,Original tweet,https://t.co/SVNMdFqKDL
841320156043304961,18865,5163,Original tweet,https://t.co/cEORXhwZ5K
841314665196081154,15095,4348,Original tweet,https://t.co/9lVAqDEvZ5
841077006473256960,21805,4998,Original tweet,https://t.co/XKJrmO4fAQ
840761248237133825,0,1648,Original tweet,https:/…
840728873075638272,0,15006,Original tweet,https://…
840698636975636481,169,2,Original tweet,n
840696689258311684,11713,904,Original tweet,https://t.co/2gclc1MNr7
840632337062862849,8599,1648,Original tweet,https://t.co/JesYTzb1Jo https://t.co/5cncH08G1o
840370681858686976,15688,4279,Original tweet,https://t.co/76iL7JUQdG
840268004936019968,18331,5365,Original tweet,https://t.co/8Wsr6b4RjE
839990271299457024,12815,2120,Original tweet,https://t.co/r7W1NbkOtr
839549326359670784,26156,7271,Original tweet,https://t.co/GuxEXTdnMu
839290600511926273,0,136,Original tweet,https://t.co/act3duiqbL
839239871831150596,25811,6089,Original tweet,https://t.co/JEXB9RwBmm
838952994649550848,18781,3756,Original tweet,https://t.co/ngAxYLVYHP
838921590096166913,10642,1917,Original tweet,https://t.co/oXVu9pNZZv
838916489579200512,0,31,Original tweet,https://t.co/6UCGFczlOI
838831947270979586,0,10334,Original tweet,https:…
838561493054533637,10492,1255,Original tweet,https://t.co/0av1PEehFI
838476387338051585,21459,4459,Original tweet,https://t.co/51FXNuouHI
838201503651401729,0,9430,Original tweet,https://t.co/EM…
838150277551247360,1591,313,Original tweet,0
838085839343206401,134,1,Original tweet,0
838083903487373313,16848,2917,Original tweet,https://t.co/meUc8jufAO
837820167694528512,32528,7350,Original tweet,https://t.co/ORiK6jlgdH
837482249356513284,3689,417,Original tweet,https://t.co/Z3LAaV2pKz
837471256429613056,12247,2118,Original tweet,https://t.co/u51tzXSVi3
837110210464448512,15394,2226,Original tweet,https://t.co/7pUjwe8X6B
836989968035819520,12221,2166,Original tweet,https://t.co/beWUzGVKRM
836753516572119041,18518,4363,Original tweet,https://t.co/GZmNEdyoJY
836677758902222849,12093,2083,Original tweet,https://t.co/fGAPAsxjKs
836648853927522308,0,518,Original tweet,…
836397794269200385,0,25799,Original tweet,https:/…
836380477523124226,14181,2814,Original tweet,https://t.co/W4KffrdX3Q
836260088725786625,20413,4083,Original tweet,https://t.co/gA2GECjiQD
836001077879255040,18289,4009,Original tweet,https://t.co/uRdKlFArQE
835685285446955009,0,7652,Original tweet,https://t.co/…
835574547218894849,17040,3390,Original tweet,https://t.co/cVQEnUQd8q
835536468978302976,0,1583,Original tweet,https://…
835309094223372289,0,19697,Original tweet,https://t.co/dsv4xAtfv7
835297930240217089,15799,2819,Original tweet,https://t.co/1U0z6r5LSO
835264098648616962,7400,1583,Original tweet,https://t.co/FYFyHh7rir https://t.co/IiB7ggduoU
835246439529840640,2019,66,Original tweet,o
835172783151792128,25101,5412,Original tweet,https://t.co/8fX2VkExnL
835152434251116546,21419,2830,Original tweet,https://t.co/YbEJPkg4Ag
834931633769889797,10336,1520,Original tweet,https://t.co/jTe7Y6P0HK
834786237630337024,20613,5213,Original tweet,https://t.co/3FIqvumEXE
834574053763584002,13079,2371,Original tweet,https://t.co/UtEVnQ1ZPg
834477809192075265,0,10031,Original tweet,…
834458053273591808,9227,1582,Original tweet,https://t.co/8ZOZS2FSJe
834209720923721728,19676,4457,Original tweet,https://t.co/FaeinVjzTZ
834167344700198914,15172,3461,Original tweet,https://t.co/o3bhLguymB
834089966724603904,9627,2016,Original tweet,https://t.co/ffIH2WxwF0
834086379323871233,12516,2078,Original tweet,https://t.co/5KmXPIGgAG
833863086058651648,12900,2265,Original tweet,https://t.co/HDloTYilWZ
833826103416520705,17425,3564,Original tweet,https://t.co/WTzhtfevKY
833732339549220864,0,209,Original tweet,…
833722901757046785,20065,3067,Original tweet,https://t.co/w1MQWO2PET
833479644947025920,14296,1927,Original tweet,https://t.co/YGeSpyN8Gu
833124694597443584,19409,4567,Original tweet,https://t.co/zD97KYFaFa
832998151111966721,12709,2072,Original tweet,https://t.co/QX1h0oqMz0
832769181346996225,0,38,Original tweet,https://t.co/zFEfMTaHqU
832757312314028032,16193,3417,Original tweet,https://t.co/On7muWnWSQ
832682457690300417,11396,2741,Original tweet,https://t.co/8YlD5lxPbQ
832645525019123713,2810,502,Original tweet,https://t.co/dp5h9bCwU7
832636094638288896,15248,2626,Original tweet,https://t.co/Y4DZx2UWsr
832397543355072512,11484,2086,Original tweet,https://t.co/nqAJGCHKEt
832369877331693569,16482,3013,Original tweet,https://t.co/Dhdx5HnQ4d
832273440279240704,10893,2210,Original tweet,https://t.co/SHAb1wHjMz
832215909146226688,0,5880,Original tweet,https://t.co/yBO5wu…
832215726631055365,0,8805,Original tweet,https://t.co/rLHGx3VAF3
832088576586297345,60,2,Original tweet,5
832040443403784192,0,9067,Original tweet,https://t.co/guDkLrX8zV
832032802820481025,17127,4405,Original tweet,https://t.co/P0bO8mCQwN https://t.co/SU4K34NT4M
831939777352105988,23009,5807,Original tweet,https://t.co/k9bzgyVdUT
831926988323639298,324,34,Original tweet,0
831911600680497154,26437,6138,Original tweet,https://t.co/l38R6IZNNg
831670449226514432,10007,1723,Original tweet,https://t.co/u6p4LxzHKg
831650051525054464,6850,1827,Original tweet,https://t.co/piiX0ke8Z6 https://t.co/1UHrKcaCiO
831552930092285952,8633,2211,Original tweet,https://t.co/BCbmFYLrse
831322785565769729,8949,1478,Original tweet,https://t.co/Xc0gyovCtK
831315979191906304,6292,1056,Original tweet,https://t.co/jd6lYhfdH4
831309418084069378,11342,2329,Original tweet,https://t.co/ghqMfxxa4V
831262627380748289,11422,1947,Original tweet,https://t.co/zqR5XKMpuY
830956169170665475,7678,1416,Original tweet,https://t.co/X4vNEzAod5
830583320585068544,63953,15819,Original tweet,https://t.co/SATN4If5H5
830173239259324417,0,5376,Original tweet,…
830097400375152640,9359,2773,Original tweet,https://t.co/z82hCtwhpn https://t.co/KoWrMkbMbW
829878982036299777,0,4737,Original tweet,https://t.co/QV5nx6otZR
829861396166877184,11788,1832,Original tweet,https://t.co/xeudgDXmTU
829501995190984704,30532,10031,Original tweet,https://t.co/Xw9JbJHTul
829449946868879360,10085,1908,Original tweet,https://t.co/fmRS43mWQB
829141528400556032,23398,6947,Original tweet,https://t.co/rHwfySggqR
829011960981237760,51355,15528,Original tweet,https://t.co/U50RlRw4is
828801551087042563,0,3243,Original tweet,https…
828770345708580865,24611,5548,Original tweet,https://t.co/AqPTHYUBFz
828708714936930305,35056,10623,Original tweet,https://t.co/vst2SEVJO3
828650029636317184,9157,1273,Original tweet,https://t.co/bZ4axuH6OK
828409743546925057,6136,1104,Original tweet,https://t.co/ZH5CvRlCxt
828408677031882754,7407,1223,Original tweet,https://t.co/7WFLKli2T3
828381636999917570,12128,2112,Original tweet,https://t.co/iCk7zstRA9
828376505180889089,7127,1013,Original tweet,https://t.co/HKBVZqXFNR
828372645993398273,12130,2780,Original tweet,https://t.co/JcTuUcyYNS
828361771580813312,2102,169,Original tweet,n
828046555563323392,11299,2724,Original tweet,https://t.co/O37z4jaMG9
828011680017821696,9980,2046,Original tweet,https://t.co/rkhCFfDtxB
827933404142436356,19288,4964,Original tweet,https://t.co/j8D3PQJvpJ
827653905312006145,14930,2869,Original tweet,https://t.co/eAA8lratd3
827600520311402496,7218,883,Original tweet,https://t.co/vrppizPGdb
827324948884643840,15268,2869,Original tweet,https://t.co/UU3KqQF5n5
827199976799354881,10218,2113,Original tweet,https://t.co/UkyQibIBzZ
826958653328592898,20770,4737,Original tweet,https://t.co/QV5nx6otZR
826848821049180160,34795,9602,Original tweet,https://t.co/WS0Gha8vRh
826615380357632002,0,3776,Original tweet,https:/…
826598799820865537,4947,234,Original tweet,g
826598365270007810,9649,2227,Original tweet,https://t.co/YprN62Z74I
826476773533745153,17717,3995,Original tweet,https://t.co/YIV8sw8xkh
826240494070030336,12787,2472,Original tweet,https://t.co/srXL2s868C
826204788643753985,4698,873,Original tweet,https://t.co/1httNYrCeW https://t.co/KvaM8j3jhX
826115272272650244,15060,2945,Original tweet,https://t.co/6gHoGah9nm
825876512159186944,10101,1770,Original tweet,https://t.co/feNwTq12S5
825829644528148480,12290,2389,Original tweet,https://t.co/YimNdkZrhM
825535076884762624,55071,16763,Original tweet,https://t.co/6ao80wIpV1
825147591692263424,17644,4298,Original tweet,https://t.co/AyBEmx56MD
825120256414846976,0,1185,Original tweet,https:/…
825026590719483904,6019,1185,Original tweet,https://t.co/koHvVQp9bL https://t.co/IhW0JKf7kc
824796380199809024,0,5233,Original tweet,https://t.co/ivPWhspN3E
824775126675836928,14385,3340,Original tweet,https://t.co/F0VWg2GztI
824663926340194305,10135,1682,Original tweet,https://t.co/A5Mx4h1FSM
824325613288833024,11410,10134,Original tweet,https://t.co/wBmc7OaGvS
824297048279236611,14524,3664,Original tweet,https://t.co/EmJbG0skLt
824025158776213504,4668,573,Original tweet,https://t.co/50qq2DItPW
823939628516474880,10273,2592,Original tweet,https://t.co/m0hrATIEyw
823719002937630720,0,10622,Original tweet,https://t.co/T7Jr4Gw4sC
823699002998870016,13496,2396,Original tweet,https://t.co/yCydYURYEL
823581115634085888,12539,2499,Original tweet,https://t.co/6F5Rrp472U
823333489516937216,678,21,Original tweet,0
823322678127919110,15151,3814,Original tweet,https://t.co/stkJ377KK7
823269594223824897,0,9428,Original tweet,https://t.co/rLi83ZyCL5
822975315408461824,16740,3281,Original tweet,https://t.co/yUM8jYStuG
822872901745569793,126688,41010,Original tweet,https://t.co/nTz3FtorBc
822859134160621569,12760,2167,Original tweet,https://t.co/SSQE06XClS
822647212903690241,0,6094,Original tweet,https://t.co/liJGwMp17E
822610361945911296,14275,2795,Original tweet,https://t.co/mcagPeENIh
822489057087389700,17504,6095,Original tweet,https://t.co/liJGwMp17E
822462944365645825,26868,13531,Original tweet,https://t.co/M3hZGadUuO
822244816520155136,33757,9428,Original tweet,https://t.co/rLi83ZyCL5
822163064745328640,0,4512,Original tweet,https:…
